visitor_id,unit_number,visitor_alias,declared_purpose,valid_from,valid_until,host_declared,registration_channel
VIS-00029,A-03-01,Traveller-5,friend_visit,2026-08-11T13:00:00+08:00,2026-08-13T13:00:00+08:00,False,self_service_qr
VIS-00030,A-03-01,Traveller-6,friend_visit,2026-08-13T13:00:00+08:00,2026-08-15T13:00:00+08:00,False,self_service_qr
VIS-00031,A-03-01,Traveller-7,friend_visit,2026-08-15T13:00:00+08:00,2026-08-17T13:00:00+08:00,False,self_service_qr
VIS-00032,A-03-01,Traveller-8,friend_visit,2026-08-17T13:00:00+08:00,2026-08-19T13:00:00+08:00,False,self_service_qr
VIS-00033,A-03-01,Traveller-9,friend_visit,2026-08-19T13:00:00+08:00,2026-08-21T13:00:00+08:00,False,self_service_qr
VIS-00034,A-03-01,Traveller-10,friend_visit,2026-08-21T13:00:00+08:00,2026-08-23T13:00:00+08:00,False,self_service_qr
VIS-00035,A-05-02,NightGuest-1,friend_visit,2026-08-05T22:30:00+08:00,2026-08-06T06:30:00+08:00,False,self_service_qr
VIS-00036,A-05-02,NightGuest-2,friend_visit,2026-08-08T22:30:00+08:00,2026-08-09T06:30:00+08:00,False,self_service_qr
VIS-00037,A-05-02,NightGuest-3,friend_visit,2026-08-11T22:30:00+08:00,2026-08-12T06:30:00+08:00,False,self_service_qr
VIS-00038,A-05-02,NightGuest-4,friend_visit,2026-08-14T22:30:00+08:00,2026-08-15T06:30:00+08:00,False,self_service_qr
VIS-00039,A-05-02,NightGuest-5,friend_visit,2026-08-17T22:30:00+08:00,2026-08-18T06:30:00+08:00,False,self_service_qr
VIS-00040,A-05-02,NightGuest-6,friend_visit,2026-08-20T22:30:00+08:00,2026-08-21T06:30:00+08:00,False,self_service_qr
VIS-00041,A-05-02,NightGuest-7,friend_visit,2026-08-23T22:30:00+08:00,2026-08-24T06:30:00+08:00,False,self_service_qr
VIS-00042,A-05-02,NightGuest-8,friend_visit,2026-08-26T22:30:00+08:00,2026-08-27T06:30:00+08:00,False,self_service_qr
VIS-00043,A-07-02,ShortStay-1,friend_visit,2026-08-04T14:00:00+08:00,2026-08-05T14:00:00+08:00,False,self_service_qr
VIS-00044,A-07-02,ShortStay-2,friend_visit,2026-08-08T14:00:00+08:00,2026-08-09T14:00:00+08:00,False,self_service_qr
VIS-00045,A-07-02,ShortStay-3,friend_visit,2026-08-12T14:00:00+08:00,2026-08-13T14:00:00+08:00,False,self_service_qr
VIS-00046,A-07-02,ShortStay-4,friend_visit,2026-08-16T14:00:00+08:00,2026-08-17T14:00:00+08:00,False,self_service_qr
VIS-00047,A-07-02,ShortStay-5,friend_visit,2026-08-20T14:00:00+08:00,2026-08-21T14:00:00+08:00,False,self_service_qr
VIS-00048,A-07-02,ShortStay-6,friend_visit,2026-08-24T14:00:00+08:00,2026-08-25T14:00:00+08:00,False,self_service_qr
