event_id,timestamp,unit_number,credential_id,holder_type,access_point,direction,result
EVT-002498,2026-08-01T17:07:00+08:00,B-07-01,B-07-01-RES-2,resident,main_lobby,entry,granted
EVT-000208,2026-08-01T17:13:00+08:00,A-03-01,A-03-01-RES-2,resident,main_lobby,entry,granted
EVT-001870,2026-08-01T17:18:00+08:00,B-04-01,B-04-01-RES-3,resident,main_lobby,entry,granted
EVT-000456,2026-08-01T17:39:00+08:00,A-04-01,A-04-01-RES-2,resident,main_lobby,entry,granted
EVT-001460,2026-08-01T17:44:00+08:00,B-02-02,B-02-02-RES-1,resident,main_lobby,entry,granted
EVT-000706,2026-08-01T17:48:00+08:00,A-05-01,A-05-01-RES-3,resident,main_lobby,entry,granted
EVT-001208,2026-08-01T17:49:00+08:00,A-07-02,A-07-02-RES-1,resident,main_lobby,entry,granted
EVT-001404,2026-08-01T18:02:00+08:00,B-02-01,B-02-01-RES-3,resident,main_lobby,entry,granted
EVT-000604,2026-08-01T18:03:00+08:00,A-05-01,A-05-01-RES-1,resident,main_lobby,entry,granted
EVT-002775,2026-08-01T18:14:00+08:00,B-06-02,B-06-02-ACT-02,access_card,main_lobby,exit,granted
EVT-002839,2026-08-01T18:52:00+08:00,B-06-02,B-06-02-ACT-06,access_card,main_lobby,entry,granted
EVT-000048,2026-08-01T19:01:00+08:00,A-02-02,A-02-02-RES-1,resident,main_lobby,entry,granted
EVT-000104,2026-08-01T19:10:00+08:00,A-02-02,A-02-02-RES-2,resident,main_lobby,entry,granted
EVT-002340,2026-08-01T19:22:00+08:00,B-06-02,B-06-02-RES-1,resident,main_lobby,entry,granted
EVT-000906,2026-08-01T19:24:00+08:00,A-06-01,A-06-01-RES-2,resident,main_lobby,entry,granted
EVT-002807,2026-08-01T19:27:00+08:00,B-06-02,B-06-02-ACT-04,access_card,main_lobby,exit,granted
EVT-000750,2026-08-01T19:32:00+08:00,A-05-02,A-05-02-RES-1,resident,main_lobby,entry,granted
EVT-000656,2026-08-01T20:05:00+08:00,A-05-01,A-05-01-RES-2,resident,main_lobby,entry,granted
EVT-000552,2026-08-01T20:07:00+08:00,A-04-02,A-04-02-RES-1,resident,main_lobby,entry,granted
EVT-001716,2026-08-01T20:07:00+08:00,B-03-02,B-03-02-RES-1,resident,main_lobby,entry,granted
EVT-001556,2026-08-01T20:13:00+08:00,B-03-01,B-03-01-RES-1,resident,main_lobby,entry,granted
EVT-000500,2026-08-01T20:27:00+08:00,A-04-01,A-04-01-RES-3,resident,main_lobby,entry,granted
EVT-002608,2026-08-01T20:41:00+08:00,B-07-02,B-07-02-RES-2,resident,main_lobby,entry,granted
EVT-001262,2026-08-01T20:44:00+08:00,A-07-02,A-07-02-RES-2,resident,main_lobby,entry,granted
EVT-000254,2026-08-01T20:45:00+08:00,A-03-02,A-03-02-RES-1,resident,main_lobby,entry,granted
EVT-001924,2026-08-01T21:00:00+08:00,B-04-02,B-04-02-RES-1,resident,main_lobby,entry,granted
EVT-001660,2026-08-01T21:10:00+08:00,B-03-01,B-03-01-RES-3,resident,main_lobby,entry,granted
EVT-001100,2026-08-01T21:12:00+08:00,A-07-01,A-07-01-RES-1,resident,main_lobby,entry,granted
EVT-002388,2026-08-01T21:21:00+08:00,B-06-02,B-06-02-RES-2,resident,main_lobby,entry,granted
EVT-001506,2026-08-01T21:24:00+08:00,B-02-02,B-02-02-RES-2,resident,main_lobby,entry,granted
EVT-001360,2026-08-01T21:26:00+08:00,B-02-01,B-02-01-RES-2,resident,main_lobby,entry,granted
EVT-000306,2026-08-01T21:27:00+08:00,A-03-02,A-03-02-RES-2,resident,main_lobby,entry,granted
EVT-001152,2026-08-01T21:27:00+08:00,A-07-01,A-07-01-RES-2,resident,main_lobby,entry,granted
EVT-001978,2026-08-01T21:43:00+08:00,B-04-02,B-04-02-RES-2,resident,main_lobby,entry,granted
EVT-000358,2026-08-01T21:51:00+08:00,A-03-02,A-03-02-RES-3,resident,main_lobby,entry,granted
EVT-002438,2026-08-01T21:57:00+08:00,B-07-01,B-07-01-RES-1,resident,main_lobby,entry,granted
EVT-000156,2026-08-01T21:59:00+08:00,A-03-01,A-03-01-RES-1,resident,main_lobby,entry,granted
EVT-002232,2026-08-01T22:08:00+08:00,B-06-01,B-06-01-RES-1,resident,main_lobby,entry,granted
EVT-000002,2026-08-01T22:15:00+08:00,A-02-01,A-02-01-RES-1,resident,main_lobby,entry,granted
EVT-002759,2026-08-01T22:24:00+08:00,B-06-02,B-06-02-ACT-01,access_card,main_lobby,exit,granted
EVT-002286,2026-08-01T22:27:00+08:00,B-06-01,B-06-01-RES-2,resident,main_lobby,entry,granted
EVT-001608,2026-08-01T22:36:00+08:00,B-03-01,B-03-01-RES-2,resident,main_lobby,entry,granted
EVT-002180,2026-08-01T22:47:00+08:00,B-05-02,B-05-02-RES-2,resident,main_lobby,entry,granted
EVT-002706,2026-08-02T02:00:00+08:00,B-04-01,B-04-01-WK-01-1,visitor_qr,main_lobby,exit,granted
EVT-002708,2026-08-02T03:20:00+08:00,B-04-01,B-04-01-WK-01-2,visitor_qr,main_lobby,exit,granted
EVT-002609,2026-08-02T07:13:00+08:00,B-07-02,B-07-02-RES-2,resident,main_lobby,exit,granted
EVT-001263,2026-08-02T07:14:00+08:00,A-07-02,A-07-02-RES-2,resident,main_lobby,exit,granted
EVT-000403,2026-08-02T07:18:00+08:00,A-04-01,A-04-01-RES-1,resident,main_lobby,exit,granted
EVT-001309,2026-08-02T07:19:00+08:00,B-02-01,B-02-01-RES-1,resident,main_lobby,exit,granted
EVT-001661,2026-08-02T07:24:00+08:00,B-03-01,B-03-01-RES-3,resident,main_lobby,exit,granted
EVT-001817,2026-08-02T07:24:00+08:00,B-04-01,B-04-01-RES-2,resident,main_lobby,exit,granted
EVT-002233,2026-08-02T07:31:00+08:00,B-06-01,B-06-01-RES-1,resident,main_lobby,exit,granted
EVT-000307,2026-08-02T07:39:00+08:00,A-03-02,A-03-02-RES-2,resident,main_lobby,exit,granted
EVT-002499,2026-08-02T07:47:00+08:00,B-07-01,B-07-01-RES-2,resident,main_lobby,exit,granted
EVT-002341,2026-08-02T07:49:00+08:00,B-06-02,B-06-02-RES-1,resident,main_lobby,exit,granted
EVT-000805,2026-08-02T08:13:00+08:00,A-05-02,A-05-02-RES-2,resident,main_lobby,exit,granted
EVT-002389,2026-08-02T08:13:00+08:00,B-06-02,B-06-02-RES-2,resident,main_lobby,exit,granted
EVT-000359,2026-08-02T08:19:00+08:00,A-03-02,A-03-02-RES-3,resident,main_lobby,exit,granted
EVT-001101,2026-08-02T08:19:00+08:00,A-07-01,A-07-01-RES-1,resident,main_lobby,exit,granted
EVT-000157,2026-08-02T08:23:00+08:00,A-03-01,A-03-01-RES-1,resident,main_lobby,exit,granted
EVT-002439,2026-08-02T08:25:00+08:00,B-07-01,B-07-01-RES-1,resident,main_lobby,exit,granted
EVT-000049,2026-08-02T08:37:00+08:00,A-02-02,A-02-02-RES-1,resident,main_lobby,exit,granted
EVT-001979,2026-08-02T08:38:00+08:00,B-04-02,B-04-02-RES-2,resident,main_lobby,exit,granted
EVT-001405,2026-08-02T08:41:00+08:00,B-02-01,B-02-01-RES-3,resident,main_lobby,exit,granted
EVT-001769,2026-08-02T08:44:00+08:00,B-04-01,B-04-01-RES-1,resident,main_lobby,exit,granted
EVT-000255,2026-08-02T08:46:00+08:00,A-03-02,A-03-02-RES-1,resident,main_lobby,exit,granted
EVT-001925,2026-08-02T08:48:00+08:00,B-04-02,B-04-02-RES-1,resident,main_lobby,exit,granted
EVT-000751,2026-08-02T08:50:00+08:00,A-05-02,A-05-02-RES-1,resident,main_lobby,exit,granted
EVT-001209,2026-08-02T08:51:00+08:00,A-07-02,A-07-02-RES-1,resident,main_lobby,exit,granted
EVT-000855,2026-08-02T09:14:00+08:00,A-06-01,A-06-01-RES-1,resident,main_lobby,exit,granted
EVT-000907,2026-08-02T09:21:00+08:00,A-06-01,A-06-01-RES-2,resident,main_lobby,exit,granted
EVT-000707,2026-08-02T09:22:00+08:00,A-05-01,A-05-01-RES-3,resident,main_lobby,exit,granted
EVT-002127,2026-08-02T09:26:00+08:00,B-05-02,B-05-02-RES-1,resident,main_lobby,exit,granted
EVT-002181,2026-08-02T09:26:00+08:00,B-05-02,B-05-02-RES-2,resident,main_lobby,exit,granted
EVT-000951,2026-08-02T09:29:00+08:00,A-06-01,A-06-01-RES-3,resident,main_lobby,exit,granted
EVT-001361,2026-08-02T09:29:00+08:00,B-02-01,B-02-01-RES-2,resident,main_lobby,exit,granted
EVT-000105,2026-08-02T09:39:00+08:00,A-02-02,A-02-02-RES-2,resident,main_lobby,exit,granted
EVT-000605,2026-08-02T09:45:00+08:00,A-05-01,A-05-01-RES-1,resident,main_lobby,exit,granted
EVT-001609,2026-08-02T09:46:00+08:00,B-03-01,B-03-01-RES-2,resident,main_lobby,exit,granted
EVT-002029,2026-08-02T10:00:00+08:00,B-05-01,B-05-01-RES-1,resident,main_lobby,exit,granted
EVT-000003,2026-08-02T10:17:00+08:00,A-02-01,A-02-01-RES-1,resident,main_lobby,exit,granted
EVT-001507,2026-08-02T10:23:00+08:00,B-02-02,B-02-02-RES-2,resident,main_lobby,exit,granted
EVT-001871,2026-08-02T10:24:00+08:00,B-04-01,B-04-01-RES-3,resident,main_lobby,exit,granted
EVT-000553,2026-08-02T10:33:00+08:00,A-04-02,A-04-02-RES-1,resident,main_lobby,exit,granted
EVT-002710,2026-08-02T10:40:00+08:00,B-04-01,B-04-01-WK-01-3,visitor_qr,main_lobby,exit,granted
EVT-000501,2026-08-02T10:45:00+08:00,A-04-01,A-04-01-RES-3,resident,main_lobby,exit,granted
EVT-001005,2026-08-02T10:48:00+08:00,A-06-02,A-06-02-RES-1,resident,main_lobby,exit,granted
EVT-002711,2026-08-02T15:00:00+08:00,B-04-01,B-04-01-WK-02-1,visitor_qr,main_lobby,entry,granted
EVT-002713,2026-08-02T15:20:00+08:00,B-04-01,B-04-01-WK-02-2,visitor_qr,main_lobby,entry,granted
EVT-001980,2026-08-02T17:11:00+08:00,B-04-02,B-04-02-RES-2,resident,main_lobby,entry,granted
EVT-001102,2026-08-02T17:25:00+08:00,A-07-01,A-07-01-RES-1,resident,main_lobby,entry,granted
EVT-001818,2026-08-02T17:27:00+08:00,B-04-01,B-04-01-RES-2,resident,main_lobby,entry,granted
EVT-000606,2026-08-02T17:32:00+08:00,A-05-01,A-05-01-RES-1,resident,main_lobby,entry,granted
EVT-000708,2026-08-02T17:55:00+08:00,A-05-01,A-05-01-RES-3,resident,main_lobby,entry,granted
EVT-000050,2026-08-02T18:00:00+08:00,A-02-02,A-02-02-RES-1,resident,main_lobby,entry,granted
EVT-000752,2026-08-02T18:15:00+08:00,A-05-02,A-05-02-RES-1,resident,main_lobby,entry,granted
EVT-001508,2026-08-02T18:28:00+08:00,B-02-02,B-02-02-RES-2,resident,main_lobby,entry,granted
EVT-002500,2026-08-02T18:51:00+08:00,B-07-01,B-07-01-RES-2,resident,main_lobby,entry,granted
EVT-002030,2026-08-02T18:54:00+08:00,B-05-01,B-05-01-RES-1,resident,main_lobby,entry,granted
EVT-002182,2026-08-02T18:54:00+08:00,B-05-02,B-05-02-RES-2,resident,main_lobby,entry,granted
EVT-002610,2026-08-02T18:56:00+08:00,B-07-02,B-07-02-RES-2,resident,main_lobby,entry,granted
EVT-002342,2026-08-02T19:10:00+08:00,B-06-02,B-06-02-RES-1,resident,main_lobby,entry,granted
EVT-000404,2026-08-02T19:23:00+08:00,A-04-01,A-04-01-RES-1,resident,main_lobby,entry,granted
EVT-001406,2026-08-02T19:31:00+08:00,B-02-01,B-02-01-RES-3,resident,main_lobby,entry,granted
EVT-000908,2026-08-02T19:37:00+08:00,A-06-01,A-06-01-RES-2,resident,main_lobby,entry,granted
EVT-000856,2026-08-02T19:49:00+08:00,A-06-01,A-06-01-RES-1,resident,main_lobby,entry,granted
EVT-001006,2026-08-02T19:58:00+08:00,A-06-02,A-06-02-RES-1,resident,main_lobby,entry,granted
EVT-000158,2026-08-02T20:04:00+08:00,A-03-01,A-03-01-RES-1,resident,main_lobby,entry,granted
EVT-000502,2026-08-02T20:04:00+08:00,A-04-01,A-04-01-RES-3,resident,main_lobby,entry,granted
EVT-001264,2026-08-02T20:05:00+08:00,A-07-02,A-07-02-RES-2,resident,main_lobby,entry,granted
EVT-002440,2026-08-02T20:20:00+08:00,B-07-01,B-07-01-RES-1,resident,main_lobby,entry,granted
EVT-001872,2026-08-02T20:52:00+08:00,B-04-01,B-04-01-RES-3,resident,main_lobby,entry,granted
EVT-000360,2026-08-02T21:00:00+08:00,A-03-02,A-03-02-RES-3,resident,main_lobby,entry,granted
EVT-001926,2026-08-02T21:08:00+08:00,B-04-02,B-04-02-RES-1,resident,main_lobby,entry,granted
EVT-001770,2026-08-02T21:11:00+08:00,B-04-01,B-04-01-RES-1,resident,main_lobby,entry,granted
EVT-000806,2026-08-02T21:22:00+08:00,A-05-02,A-05-02-RES-2,resident,main_lobby,entry,granted
EVT-000256,2026-08-02T21:41:00+08:00,A-03-02,A-03-02-RES-1,resident,main_lobby,entry,granted
EVT-001362,2026-08-02T22:05:00+08:00,B-02-01,B-02-01-RES-2,resident,main_lobby,entry,granted
EVT-000308,2026-08-02T22:06:00+08:00,A-03-02,A-03-02-RES-2,resident,main_lobby,entry,granted
EVT-002390,2026-08-02T22:08:00+08:00,B-06-02,B-06-02-RES-2,resident,main_lobby,entry,granted
EVT-001610,2026-08-02T22:14:00+08:00,B-03-01,B-03-01-RES-2,resident,main_lobby,entry,granted
EVT-001662,2026-08-02T22:16:00+08:00,B-03-01,B-03-01-RES-3,resident,main_lobby,entry,granted
EVT-000554,2026-08-02T22:19:00+08:00,A-04-02,A-04-02-RES-1,resident,main_lobby,entry,granted
EVT-002234,2026-08-02T22:28:00+08:00,B-06-01,B-06-01-RES-1,resident,main_lobby,entry,granted
EVT-000106,2026-08-02T22:33:00+08:00,A-02-02,A-02-02-RES-2,resident,main_lobby,entry,granted
EVT-001210,2026-08-02T22:37:00+08:00,A-07-02,A-07-02-RES-1,resident,main_lobby,entry,granted
EVT-002128,2026-08-02T22:39:00+08:00,B-05-02,B-05-02-RES-1,resident,main_lobby,entry,granted
EVT-000004,2026-08-02T22:44:00+08:00,A-02-01,A-02-01-RES-1,resident,main_lobby,entry,granted
EVT-000952,2026-08-02T22:46:00+08:00,A-06-01,A-06-01-RES-3,resident,main_lobby,entry,granted
EVT-001310,2026-08-02T22:47:00+08:00,B-02-01,B-02-01-RES-1,resident,main_lobby,entry,granted
EVT-002129,2026-08-03T07:05:00+08:00,B-05-02,B-05-02-RES-1,resident,main_lobby,exit,granted
EVT-001265,2026-08-03T07:06:00+08:00,A-07-02,A-07-02-RES-2,resident,main_lobby,exit,granted
EVT-002549,2026-08-03T07:06:00+08:00,B-07-02,B-07-02-RES-1,resident,main_lobby,exit,granted
EVT-001461,2026-08-03T07:11:00+08:00,B-02-02,B-02-02-RES-1,resident,main_lobby,exit,granted
EVT-000051,2026-08-03T07:14:00+08:00,A-02-02,A-02-02-RES-1,resident,main_lobby,exit,granted
EVT-000361,2026-08-03T07:14:00+08:00,A-03-02,A-03-02-RES-3,resident,main_lobby,exit,granted
EVT-000607,2026-08-03T07:15:00+08:00,A-05-01,A-05-01-RES-1,resident,main_lobby,exit,granted
EVT-000909,2026-08-03T07:16:00+08:00,A-06-01,A-06-01-RES-2,resident,main_lobby,exit,granted
EVT-001717,2026-08-03T07:16:00+08:00,B-03-02,B-03-02-RES-1,resident,main_lobby,exit,granted
EVT-000753,2026-08-03T07:23:00+08:00,A-05-02,A-05-02-RES-1,resident,main_lobby,exit,granted
EVT-002792,2026-08-03T07:28:00+08:00,B-06-02,B-06-02-ACT-03,access_card,main_lobby,entry,granted
EVT-001663,2026-08-03T07:38:00+08:00,B-03-01,B-03-01-RES-3,resident,main_lobby,exit,granted
EVT-002611,2026-08-03T07:48:00+08:00,B-07-02,B-07-02-RES-2,resident,main_lobby,exit,granted
EVT-000209,2026-08-03T07:54:00+08:00,A-03-01,A-03-01-RES-2,resident,main_lobby,exit,granted
EVT-001981,2026-08-03T07:56:00+08:00,B-04-02,B-04-02-RES-2,resident,main_lobby,exit,granted
EVT-002856,2026-08-03T07:59:00+08:00,B-06-02,B-06-02-ACT-07,access_card,main_lobby,entry,granted
EVT-002712,2026-08-03T08:00:00+08:00,B-04-01,B-04-01-WK-02-1,visitor_qr,main_lobby,exit,granted
EVT-001771,2026-08-03T08:06:00+08:00,B-04-01,B-04-01-RES-1,resident,main_lobby,exit,granted
EVT-001311,2026-08-03T08:07:00+08:00,B-02-01,B-02-01-RES-1,resident,main_lobby,exit,granted
EVT-002183,2026-08-03T08:18:00+08:00,B-05-02,B-05-02-RES-2,resident,main_lobby,exit,granted
EVT-002441,2026-08-03T08:29:00+08:00,B-07-01,B-07-01-RES-1,resident,main_lobby,exit,granted
EVT-000405,2026-08-03T08:33:00+08:00,A-04-01,A-04-01-RES-1,resident,main_lobby,exit,granted
EVT-001927,2026-08-03T08:36:00+08:00,B-04-02,B-04-02-RES-1,resident,main_lobby,exit,granted
EVT-002287,2026-08-03T08:36:00+08:00,B-06-01,B-06-01-RES-2,resident,main_lobby,exit,granted
EVT-001363,2026-08-03T08:40:00+08:00,B-02-01,B-02-01-RES-2,resident,main_lobby,exit,granted
EVT-000457,2026-08-03T08:41:00+08:00,A-04-01,A-04-01-RES-2,resident,main_lobby,exit,granted
EVT-000857,2026-08-03T08:44:00+08:00,A-06-01,A-06-01-RES-1,resident,main_lobby,exit,granted
EVT-002391,2026-08-03T08:55:00+08:00,B-06-02,B-06-02-RES-2,resident,main_lobby,exit,granted
EVT-000709,2026-08-03T09:07:00+08:00,A-05-01,A-05-01-RES-3,resident,main_lobby,exit,granted
EVT-001819,2026-08-03T09:08:00+08:00,B-04-01,B-04-01-RES-2,resident,main_lobby,exit,granted
EVT-002031,2026-08-03T09:12:00+08:00,B-05-01,B-05-01-RES-1,resident,main_lobby,exit,granted
EVT-001007,2026-08-03T09:26:00+08:00,A-06-02,A-06-02-RES-1,resident,main_lobby,exit,granted
EVT-000807,2026-08-03T09:31:00+08:00,A-05-02,A-05-02-RES-2,resident,main_lobby,exit,granted
EVT-002081,2026-08-03T09:31:00+08:00,B-05-01,B-05-01-RES-2,resident,main_lobby,exit,granted
EVT-000005,2026-08-03T09:53:00+08:00,A-02-01,A-02-01-RES-1,resident,main_lobby,exit,granted
EVT-000107,2026-08-03T09:59:00+08:00,A-02-02,A-02-02-RES-2,resident,main_lobby,exit,granted
EVT-001407,2026-08-03T10:03:00+08:00,B-02-01,B-02-01-RES-3,resident,main_lobby,exit,granted
EVT-001211,2026-08-03T10:10:00+08:00,A-07-02,A-07-02-RES-1,resident,main_lobby,exit,granted
EVT-001873,2026-08-03T10:10:00+08:00,B-04-01,B-04-01-RES-3,resident,main_lobby,exit,granted
EVT-002235,2026-08-03T10:12:00+08:00,B-06-01,B-06-01-RES-1,resident,main_lobby,exit,granted
EVT-001051,2026-08-03T10:17:00+08:00,A-06-02,A-06-02-RES-2,resident,main_lobby,exit,granted
EVT-002501,2026-08-03T10:26:00+08:00,B-07-01,B-07-01-RES-2,resident,main_lobby,exit,granted
EVT-000257,2026-08-03T10:29:00+08:00,A-03-02,A-03-02-RES-1,resident,main_lobby,exit,granted
EVT-001509,2026-08-03T10:29:00+08:00,B-02-02,B-02-02-RES-2,resident,main_lobby,exit,granted
EVT-000555,2026-08-03T10:38:00+08:00,A-04-02,A-04-02-RES-1,resident,main_lobby,exit,granted
EVT-001153,2026-08-03T10:40:00+08:00,A-07-01,A-07-01-RES-2,resident,main_lobby,exit,granted
EVT-001557,2026-08-03T10:48:00+08:00,B-03-01,B-03-01-RES-1,resident,main_lobby,exit,granted
EVT-001103,2026-08-03T10:51:00+08:00,A-07-01,A-07-01-RES-1,resident,main_lobby,exit,granted
EVT-000953,2026-08-03T10:52:00+08:00,A-06-01,A-06-01-RES-3,resident,main_lobby,exit,granted
EVT-000657,2026-08-03T10:56:00+08:00,A-05-01,A-05-01-RES-2,resident,main_lobby,exit,granted
EVT-001611,2026-08-03T10:58:00+08:00,B-03-01,B-03-01-RES-2,resident,main_lobby,exit,granted
EVT-002714,2026-08-03T13:20:00+08:00,B-04-01,B-04-01-WK-02-2,visitor_qr,main_lobby,exit,granted
EVT-002659,2026-08-03T15:00:00+08:00,A-03-01,A-03-01-GUEST-01,visitor_card,main_lobby,entry,granted
EVT-002660,2026-08-03T15:04:00+08:00,A-03-01,A-03-01-GUEST-01,visitor_card,lift_lobby,entry,granted
EVT-000556,2026-08-03T17:00:00+08:00,A-04-02,A-04-02-RES-1,resident,main_lobby,entry,granted
EVT-000006,2026-08-03T17:14:00+08:00,A-02-01,A-02-01-RES-1,resident,main_lobby,entry,granted
EVT-001408,2026-08-03T17:17:00+08:00,B-02-01,B-02-01-RES-3,resident,main_lobby,entry,granted
EVT-002502,2026-08-03T17:21:00+08:00,B-07-01,B-07-01-RES-2,resident,main_lobby,entry,granted
EVT-000362,2026-08-03T17:29:00+08:00,A-03-02,A-03-02-RES-3,resident,main_lobby,entry,granted
EVT-001008,2026-08-03T17:36:00+08:00,A-06-02,A-06-02-RES-1,resident,main_lobby,entry,granted
EVT-000458,2026-08-03T17:40:00+08:00,A-04-01,A-04-01-RES-2,resident,main_lobby,entry,granted
EVT-002184,2026-08-03T17:40:00+08:00,B-05-02,B-05-02-RES-2,resident,main_lobby,entry,granted
EVT-001664,2026-08-03T17:42:00+08:00,B-03-01,B-03-01-RES-3,resident,main_lobby,entry,granted
EVT-001312,2026-08-03T17:45:00+08:00,B-02-01,B-02-01-RES-1,resident,main_lobby,entry,granted
EVT-002032,2026-08-03T17:50:00+08:00,B-05-01,B-05-01-RES-1,resident,main_lobby,entry,granted
EVT-000052,2026-08-03T17:57:00+08:00,A-02-02,A-02-02-RES-1,resident,main_lobby,entry,granted
EVT-001052,2026-08-03T17:59:00+08:00,A-06-02,A-06-02-RES-2,resident,main_lobby,entry,granted
EVT-002760,2026-08-03T18:09:00+08:00,B-06-02,B-06-02-ACT-01,access_card,main_lobby,exit,granted
EVT-001154,2026-08-03T18:11:00+08:00,A-07-01,A-07-01-RES-2,resident,main_lobby,entry,granted
